,MSE
KL-5-20 000-1-5,4.242587310934849
KL-5-20 000-2-10,7.5166240082991145
KL-20-5 000-4-6,4.707334908945922
KL-20-5 000-2-3,4.069142735753495
KL-50-2 000-4-6,3.2044960310066055
KL-50-2 000-2-3,1.6238738039555232
R-5-20 000-1-5,3.715118179692923
R-5-20 000-2-10,3.297376570822072
R-20-5 000-4-6,2.383814920982019
R-20-5 000-2-3,2.624274241247829
R-50-2 000-4-6,2.4058943000188298
R-50-2 000-2-3,1.9904246065025217
