,MSE
KL-5-20 000-1-5,5.732370904182115
KL-5-20 000-2-10,7.251936994785491
KL-20-5 000-4-6,3.1489138103064245
KL-20-5 000-2-3,3.2842913068045076
KL-50-2 000-4-6,9.045536547016429
KL-50-2 000-2-3,
R-5-20 000-1-5,7.983119761300981
R-5-20 000-2-10,1.755993445975583
R-20-5 000-4-6,2.5229307582444234
R-20-5 000-2-3,2.74326084561463
R-50-2 000-4-6,2.0845830928334315
R-50-2 000-2-3,1.9535294462930664
